Insert Times,Search Times,Insert Collisions, Search Collisions
3.0619e-07,3.806e-08,95,28
2.3853e-07,4.781e-08,89,35
2.8646e-07,4.38e-08,88,23
2.792e-07,4.376e-08,91,32
2.448e-07,4.185e-08,92,33
2.9236e-07,4.08e-08,93,34
2.7345e-07,3.884e-08,94,22
3.3011e-07,4.419e-08,96,29
3.5168e-07,4.404e-08,95,32
3.6145e-07,4.976e-08,97,34
4.4297e-07,5.525e-08,97,26
4.3877e-07,5.733e-08,97,30
4.6057e-07,3.793e-08,91,30
4.9123e-07,7.747e-08,95,44
5.9219e-07,5.159e-08,98,25
7.3667e-07,4.709e-08,96,28
5.8045e-07,5.419e-08,96,31
6.5391e-07,5.664e-08,96,32
6.8677e-07,5.189e-08,95,35
8.9244e-07,6.206e-08,97,39
7.4156e-07,5.27e-08,98,35
1.0729e-06,1.0359e-07,98,42
1.08505e-06,1.6329e-07,98,41
1.17279e-06,4.922e-08,97,31
1.3278e-06,9.681e-08,98,34
2.0043e-06,8.498e-08,100,41
4.02543e-06,9.084e-08,99,34
4.33923e-06,1.6185e-07,99,45
7.51221e-06,4.896e-08,99,28
9.06171e-06,4.495e-08,100,35
1.28833e-05,8.617e-08,100,35
2.66142e-05,1.7343e-07,100,36
