Insert Times,Search Times,Insert Collisions, Search Collisions
8.867e-08,3.304e-08,35,7
8.616e-08,1.998e-08,38,1
1.1084e-07,3.147e-08,36,8
9.598e-08,3.26e-08,43,5
1.2707e-07,3.089e-08,43,6
8.794e-08,2.469e-08,32,5
1.0856e-07,1.972e-08,45,1
1.1186e-07,4.564e-08,42,11
9.024e-08,3.016e-08,39,6
1.081e-07,2.632e-08,35,4
9.683e-08,2.969e-08,43,3
9.264e-08,2.313e-08,44,4
1.1673e-07,3.306e-08,51,7
1.0273e-07,3.193e-08,36,6
1.3634e-07,3.644e-08,51,8
1.027e-07,2.435e-08,46,3
1.1241e-07,2.568e-08,50,3
